Survey,Category #,Category Label,QID,Question Short Text
PQRS,1,"Getting Timely Appointments, Care, and Information",H61DA,"In the last 6 months, when you phoned this provider's office to get an appointment for care you needed right away, how often did you get an appointment as soon as you needed?"
PQRS,1,"Getting Timely Appointments, Care, and Information",H61DB,"In the last 6 months, when you made an appointment for a check-up or routine care with this provider, how often did you get an appointment as soon as you needed?"
PQRS,1,"Getting Timely Appointments, Care, and Information",H69DA,"In the last 6 months, when you phoned this provider's office during regular office hours, how often did you get an answer to your medical question that same day?"
PQRS,1,"Getting Timely Appointments, Care, and Information",H69DB,"In the last 6 months, when you phoned this provider's office after regular office hours, how often did you get an answer to your medical question as soon as you needed?"
PQRS,1,"Getting Timely Appointments, Care, and Information",H65DD,"Wait time includes time spent in the waiting room and exam room. In the last 6 months, how often did you see this provider within 15 minutes of your appointment time?"
PQRS,2,How Well Providers Communicate With Patients,H63J,"In the last 6 months, how often did this provider explain things in a way that was easy to understand?"
PQRS,2,How Well Providers Communicate With Patients,H63O,"In the last 6 months, how often did this provider listen carefully to you?"
PQRS,2,How Well Providers Communicate With Patients,H63FF,"In the last 6 months, how often did this provider give you easy to understand information about these health questions or concerns?"
PQRS,2,How Well Providers Communicate With Patients,H63D,"In the last 6 months, how often did this provider seem to know the important information about your medical history?"
PQRS,2,How Well Providers Communicate With Patients,H63CS,"In the last 6 months, how often did this provider show respect for what you had to say?"
PQRS,2,How Well Providers Communicate With Patients,H63AA,"In the last 6 months, how often did this provider spend enough time with you?"
PQRS,3,Patients' Rating of the Provider,H30,"Using any number from 0 to 10, where 0 is the worst provider possible and 10 is the best provider possible, what number would you use to rate this provider?"
PQRS,4,Access to Specialists,H633A,"In the last 6 months, how often was it easy to get appointments with specialists?"
PQRS,4,Access to Specialists,H633D,"In the last 6 months, how often did the specialist you saw most seem to know the important information about your medical history?"
PQRS,5,Health Promotion and Education,Y63D,"In the last 6 months, did you and anyone on your health care team talk about specific things you could do to prevent illness?"
PQRS,5,Health Promotion and Education,Y63DH,"In the last 6 months, did you and anyone on your health care team talk about a healthy diet and healthy eating habits?"
PQRS,5,Health Promotion and Education,Y63DJ,"In the last 6 months, did you and anyone on your health care team talk about the exercise or physical activity you get?"
PQRS,5,Health Promotion and Education,Y63FG,"In the last 6 months, did anyone on your health care team talk with you about specific goals for your health?"
PQRS,5,Health Promotion and Education,Y619D,"In the last 6 months, did anyone on your health care team ask you if there was a period of time when you felt sad, empty, or depressed?"
PQRS,5,Health Promotion and Education,Y619W,"In the last 6 months, did you and anyone on your health care team talk about things in your life that worry you or cause you stress?"
PQRS,6,Shared Decision-Making,Y4PP,Did you and this provider talk about the reasons you might want to take a medicine?
PQRS,6,Shared Decision-Making,Y4PPN,Did you and this provider talk about the reasons you might not want to take a medicine?
PQRS,6,Shared Decision-Making,Y4AM,"When you and this provider talked about starting or stopping a prescription medicine, did this provider ask what you thought was best for you?"
PQRS,6,Shared Decision-Making,Y4TS,Did you and this provider talk about the reasons you might want to have surgery or procedure?
PQRS,6,Shared Decision-Making,Y4TSN,Did you and this provider talk about the reasons you might not want to have the surgery or procedure?
PQRS,6,Shared Decision-Making,Y4TSB,"When you and this provider talked about having surgery or a procedure, did this provider ask what you thought was best for you?"
PQRS,6,Shared Decision-Making,Y64BE,"In the last 6 months, did you and this provider talk about how much of your personal health information you wanted shared with your family or friends?"
PQRS,6,Shared Decision-Making,Y64BW,"In the last 6 months, did this provider respect your wishes about how much of your personal health information to share with your family or friends?"
PQRS,7,"Helpful, Courteous, and Respectful Office Staff",H69H,"In the last 6 months, how often were clerks and receptionists at this provider's office as helpful as you thought they should be?"
PQRS,7,"Helpful, Courteous, and Respectful Office Staff",H69C,"In the last 6 months, how often did clerks and receptionists at this provider's office treat you with courtesy and respect?"
PQRS,8,Care Coordination,H63DM,"When you visited this provider in the last 6 months, how often did he or she have your medical records?"
PQRS,8,Care Coordination,H64FC,"In the last 6 months, when this provider ordered a blood test, x-ray, or other test for you, how often did someone from this provider’s office follow up to give you those results?"
PQRS,8,Care Coordination,H64AM,"In the last 6 months, how often did you and anyone on your health care team talk about all the prescription medicines you were taking?"
PQRS,9,Between Visit Communication,D61DA,"In the last 6 months, did this provider's office contact you to remind you to make an appointment for tests or treatment?"
PQRS,10,Helping You Take Medications as Directed,H64AO,"In the last 6 months, how often did this provider give you easy to understand instructions about how to take your medicines?"
PQRS,10,Helping You Take Medications as Directed,Y4AO1,Was the written information this provider gave you easy to understand?
PQRS,10,Helping You Take Medications as Directed,Y64A1,"In the last 6 months, did this provider suggest ways to help you remember to take your medicines?"
PQRS,11,Stewardship of Patient Resources,Y64A2,"In the last 6 months, did you and anyone on your health care team talk about how much your prescription medicines cost?"
CG-CAHPS 12 Month,1,"Getting Timely Appointments, Care, and Information",H1DA,Timeliness of appointment for immediate care
CG-CAHPS 12 Month,1,"Getting Timely Appointments, Care, and Information",H1DB,Timeliness of appointment for check-up/routine care
CG-CAHPS 12 Month,1,"Getting Timely Appointments, Care, and Information",H5DD,Provider being seen within 15 minutes of scheduled time
CG-CAHPS 12 Month,1,"Getting Timely Appointments, Care, and Information",H9DA,Same day response to medical questions during regular hours
CG-CAHPS 12 Month,1,"Getting Timely Appointments, Care, and Information",H9DB,Timeliness of answers to medical questions after regular hours
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3AA,Provider spends enough time with patient/parent
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3CS,Provider's respect for patient/parent
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3D,Provider's knowledge of patient's medical history
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3FF,Provider giving understandable instructions for care
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3J,Clear communication by providers
CG-CAHPS 12 Month,2,How Well Providers Communicate With Patients,H3O,Providers listening carefully to patients
CG-CAHPS 12 Month,3,"Helpful, Courteous, and Respectful Office Staff",H9C,Office staff treating you with courtesy and respect
CG-CAHPS 12 Month,3,"Helpful, Courteous, and Respectful Office Staff",H9H,Helpfulness of office staff
CG-CAHPS 12 Month,4,Follow-up on Test Results,H4FC,Follow up with test results
CG-CAHPS 12 Month,5,Patients' Rating of the Provider,H30,Overall rating of provider
CG-CAHPS Visit,1,"Getting Timely Appointments, Care, and Information",H1DA,Timeliness of appointment for immediate care
CG-CAHPS Visit,1,"Getting Timely Appointments, Care, and Information",H1DB,Timeliness of appointment for check-up/routine care
CG-CAHPS Visit,1,"Getting Timely Appointments, Care, and Information",H5DD,Provider being seen within 15 minutes of scheduled time
CG-CAHPS Visit,1,"Getting Timely Appointments, Care, and Information",H9DA,Same day response to medical questions during regular hours
CG-CAHPS Visit,1,"Getting Timely Appointments, Care, and Information",H9DB,Timeliness of answers to medical questions after regular hours
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3AAA,Provider spends enough time with patient/parent
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3CSA,Provider's respect for patient/parent
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3DA,Provider's knowledge of patient's medical history
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3FFA,Provider giving understandable instructions for care
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3JA,Clear communication by providers
CG-CAHPS Visit,2,How Well Providers Communicate With Patients,H3OA,Providers listening carefully to patients
CG-CAHPS Visit,3,"Helpful, Courteous, and Respectful Office Staff",H9CA,Office staff treating you with courtesy and respect
CG-CAHPS Visit,3,"Helpful, Courteous, and Respectful Office Staff",H9HA,Helpfulness of office staff
CG-CAHPS Visit,4,Follow-up on Test Results,Y4FC,Follow up with test results
CG-CAHPS Visit,5,Patients' Rating of the Provider,H30,Overall rating of provider
CG-CAHPS Visit,6,Willingness to Recommend,H17B,Patient Advocacy (likelihood to recommend)
CG-CAHPS 12 Month Child,1,"Getting Timely Appointments, Care, and Information",H1DA,Timeliness of appointment for immediate care
CG-CAHPS 12 Month Child,1,"Getting Timely Appointments, Care, and Information",H1DB,Timeliness of appointment for check-up/routine care
CG-CAHPS 12 Month Child,1,"Getting Timely Appointments, Care, and Information",H5DD,Provider being seen within 15 minutes of scheduled time
CG-CAHPS 12 Month Child,1,"Getting Timely Appointments, Care, and Information",H9DA,Same day response to medical questions during regular hours
CG-CAHPS 12 Month Child,1,"Getting Timely Appointments, Care, and Information",H9DB,Timeliness of answers to medical questions after regular hours
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3AA,Provider spends enough time with patient/parent
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3CS,Provider's respect for patient/parent
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3D,Provider's knowledge of patient's medical history
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3FF,Provider giving understandable instructions for care
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3J,Clear communication by providers
CG-CAHPS 12 Month Child,2,How Well Providers Communicate With Patients,H3O,Providers listening carefully to patients
CG-CAHPS 12 Month Child,3,"Helpful, Courteous, and Respectful Office Staff",H9C,Office staff treating you with courtesy and respect
CG-CAHPS 12 Month Child,3,"Helpful, Courteous, and Respectful Office Staff",H9H,Helpfulness of office staff
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DB,Spoke with provider's office about child's learning ability
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DC,Spoke with provider's office about normal behaviors
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DD,Spoke with provider's office about child's growth
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DE,Spoke with provider's office about child's moods and emotions
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DG,Spoke with provider's office about time spent on the computer or watching TV
CG-CAHPS 12 Month Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DK,Spoke with provider's office about child's ability to get along with others
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF,Spoke with provider's office about ways to prevent injuries
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF1,Received information about preventing injuries
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DH,Spoke with provider's office about child's diet
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DJ,Spoke with provider's office about child's exercise
CG-CAHPS 12 Month Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DL,Spoke with provider's office about household problems affecting the child
CG-CAHPS 12 Month Child,6,Follow-up on Test Results,H4FC,Provider’s office followed up with test results
CG-CAHPS 12 Month Child,7,Patients' Rating of the Provider,H30,Rating of Provider
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H1DA,Timeliness of appointment for immediate care
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H1DB,Timeliness of appointment for check-up/routine care
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H5DD,Provider being seen within 15 minutes of scheduled time
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H9DA,Same day response to medical questions during regular hours
CG-CAHPS Visit Child,1,"Getting Timely Appointments, Care, and Information",H9DB,Timeliness of answers to medical questions after regular hours
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3AAA,Provider spends enough time with patient/parent
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3CSA,Provider's respect for patient/parent
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3DA,Provider's knowledge of patient's medical history
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3FFA,Provider giving understandable instructions for care
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3JA,Clear communication by providers
CG-CAHPS Visit Child,2,How Well Providers Communicate With Patients,H3OA,Providers listening carefully to patients
CG-CAHPS Visit Child,3,"Helpful, Courteous, and Respectful Office Staff",H9CA,Office staff treating you with courtesy and respect
CG-CAHPS Visit Child,3,"Helpful, Courteous, and Respectful Office Staff",H9HA,Helpfulness of office staff
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DB,Spoke with provider's office about child's learning ability
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DC,Spoke with provider's office about normal behaviors
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DD,Spoke with provider's office about child's growth
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DE,Spoke with provider's office about child's moods and emotions
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DG,Spoke with provider's office about time spent on the computer or watching TV
CG-CAHPS Visit Child,4,Provider’s Attention to Your Child’s Growth and Development,Y3DK,Spoke with provider's office about child's ability to get along with others
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF,Spoke with provider's office about ways to prevent injuries
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DF1,Received information about preventing injuries
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DH,Spoke with provider's office about child's diet
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DJ,Spoke with provider's office about child's exercise
CG-CAHPS Visit Child,5,Provider’s Advice on Keeping Your Child Safe and Healthy,Y3DL,Spoke with provider's office about household problems affecting the child
CG-CAHPS Visit Child,6,Follow-up on Test Results,Y4FC,Follow up with test results
CG-CAHPS Visit Child,7,Patients' Rating of the Provider,H30,Rating of Provider
HH-CAHPS,1,Care Of Patients,H2HK,"In the last 2 months of care, how often did home health providers from this agency seem informed and up-to-date about all the care or treatment you got at home?"
HH-CAHPS,1,Care Of Patients,H2CG,"In the last 2 months of care, how often did home health providers from this agency treat you as gently as possible?"
HH-CAHPS,1,Care Of Patients,H2C,"In the last 2 months of care, how often did home health providers from this agency treat you with courtesy and respect?"
HH-CAHPS,1,Care Of Patients,Y8HP,"In the last 2 months of care, did you have any problems with the care you got through this agency?"
HH-CAHPS,2,Communication Between Providers And Patients,Y1H,"When you first started getting home health care from this agency, did someone from the agency tell you what care and services you would get?"
HH-CAHPS,2,Communication Between Providers And Patients,H4Y,"In the last 2 months of care, how often did home health providers from this agency keep you informed about when they would arrive at your home?"
HH-CAHPS,2,Communication Between Providers And Patients,H2J,"In the last 2 months of care, how often did home health providers from this agency explain things in a way that was easy to understand?"
HH-CAHPS,2,Communication Between Providers And Patients,H2O,"In the last 2 months of care, how often did home health providers from this agency listen carefully to you?"
HH-CAHPS,2,Communication Between Providers And Patients,Y10H,"In the last 2 months of care, when you contacted this agency’s office did you get the help or advice you needed?"
HH-CAHPS,2,Communication Between Providers And Patients,H10A,"When you contacted this agency’s office, how long did it take for you to get the help or advice you needed?"
HH-CAHPS,3,Specific Care Issues,Y1HA,"When you first started getting home health care from this agency, did someone from the agency talk with you about how to set up your home so you can move around safely?"
HH-CAHPS,3,Specific Care Issues,Y1HB,"When you started getting home health care from this agency, did someone from the agency talk with you about all the prescription and over-the-counter medicines you were taking?"
HH-CAHPS,3,Specific Care Issues,Y1HC,"When you started getting home health care from this agency, did someone from the agency ask to see all the prescription and over-the-counter medicines you were taking?"
HH-CAHPS,3,Specific Care Issues,Y4HP,"In the last 2 months of care, did you and a home health provider from this agency talk about pain?"
HH-CAHPS,3,Specific Care Issues,Y4P,"In the last 2 months of care, did home health providers from this agency talk with you about the purpose for taking the new or changed prescription medicines?"
HH-CAHPS,3,Specific Care Issues,Y4Q,"In the last 2 months of care, did home health providers from this agency talk with you about when to take these medicines?"
HH-CAHPS,3,Specific Care Issues,Y4S,"In the last 2 months of care, did home health providers from this agency talk with you about the side effects of these medicines?"
HH-CAHPS,4,Overall Rating,H30,"Using any number from 0 to 10, where 0 is the worst home health care possible and 10 is the best home health care possible, what number would you use to rate your care from this agency's home health providers?"
HH-CAHPS,5,Willingness To Recommend,H17,Would you recommend this agency to your family or friends if they needed home health care?
Hospice,1,Hospice Team Communication,H2OH,How often did the hospice team listen carefully to you when you talked with them about problems with your family member's hospice care?
Hospice,1,Hospice Team Communication,H2O,"While your family member was in hospice care, how often did the hospice team listen carefully to you?"
Hospice,1,Hospice Team Communication,H2J,"While your family member was in hospice care, how often did the hospice team explain things in a way that was easy to understand?"
Hospice,1,Hospice Team Communication,H4AAH,"While your family member was in hospice care, how often did the hospice team keep you informed about your family's condition?"
Hospice,1,Hospice Team Communication,H4YH,"While your family member was in hospice care, how often did the hospice team keep you informed about when they would arrive to care for your family member?"
Hospice,2,Getting Timely Care,H2AA2,"While your family member was in hospice care, when you or your family member asked for help from the hospice team, how often did you get help as soon as you needed it?"
Hospice,2,Getting Timely Care,H9DH,"How often did you get the help you needed from the hospice team during evenings, weekends, or holidays?"
Hospice,3,Treating Family Member with Respect,H4OR,"While your family member was in hospice care, how often did the hospice team treat your family member with dignity and respect?"
Hospice,3,Treating Family Member with Respect,H2BD,"While your family member was in hospice care, how often did you feel that the hospice team really cared about your family member?"
Hospice,4,Providing Emotional Support,H27B,"In the weeks after your family member died, how much emotional support did you get from the hospice team?"
Hospice,4,Providing Emotional Support,H27A,"While your family member was in hospice care, how much emotional support did you get from the hospice team?"
Hospice,5,Getting Help for Symptoms,H19D,How often did your family member receive the help he or she needed from the hospice team for feelings of anxiety or sadness?
